,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,3.98,-0.016,2.64,-7.806
1,3.55,-0.018,2.36,-8.403
2,3.98,-0.016,2.64,-7.806
3,1.81,-0.024,1.2,-10.231
4,2.71,-0.022,1.8,-9.246
5,3.98,-0.016,2.64,-7.806
6,3.98,-0.016,2.64,-7.806
7,4.17,-0.014,2.76,-7.812
8,3.98,-0.016,2.64,-7.806
9,3.98,-0.016,2.64,-7.806
10,3.32,-0.017,2.2,-9.291
11,3.98,-0.016,2.64,-7.806
12,3.98,-0.016,2.64,-7.806
13,3.37,-0.016,2.24,-9.771
14,3.98,-0.016,2.64,-7.806
15,3.98,-0.016,2.64,-7.806
16,3.9,-0.015,2.58,-8.154
17,3.83,-0.017,2.54,-7.79
18,3.98,-0.016,2.64,-7.806
19,3.98,-0.016,2.64,-7.806
20,3.98,-0.016,2.64,-7.806
21,3.77,-0.016,2.5,-8.43
22,2.33,-0.021,1.55,-10.038
23,3.98,-0.016,2.64,-7.806
24,3.98,-0.016,2.64,-7.806
