,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,8.09,0.006,5.33,-8.158
1,4.19,-0.013,2.77,-9.494
2,3.49,-0.017,2.31,-8.523
3,5.52,-0.007,3.65,-7.918
4,2.0,-0.024,1.33,-9.143
5,1.67,-0.026,1.11,-10.263
6,2.87,-0.02,1.91,-7.454
7,2.69,-0.021,1.78,-11.214
8,-0.18,-0.036,-0.12,-10.136
9,5.94,-0.005,3.92,-8.53
10,3.56,-0.017,2.36,-9.281
11,3.49,-0.017,2.31,-10.57
12,5.31,-0.008,3.51,-7.806
13,4.35,-0.013,2.88,-8.583
14,5.59,-0.007,3.7,-8.975
15,7.4,0.002,4.88,-4.993
16,5.34,-0.008,3.53,-7.831
17,-0.7,-0.039,-0.47,-13.299
18,4.08,-0.014,2.7,-9.172
19,2.97,-0.019,1.97,-7.822
20,6.66,-0.001,4.39,-7.534
21,4.52,-0.012,2.99,-7.814
22,2.04,-0.025,1.35,-9.322
23,0.64,-0.033,0.42,-8.376
24,5.42,-0.007,3.58,-7.148
