,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,2.91,-0.029,1.93,-4.693
1,5.19,-0.012,3.43,-3.531
2,1.19,-0.038,0.79,-4.282
3,-5.54,-0.097,-3.73,-8.205
4,0.06,-0.046,0.04,-5.939
5,7.7,0.004,5.07,-4.881
6,2.18,-0.031,1.45,-6.426
7,2.85,-0.03,1.89,-3.989
8,1.12,-0.038,0.74,-4.837
9,0.14,-0.047,0.09,-5.217
10,-3.32,-0.069,-2.22,-7.627
11,1.91,-0.035,1.27,-4.669
12,2.91,-0.029,1.93,-4.136
13,-9.93,-0.115,-6.74,-10.977
14,-6.58,-0.093,-4.44,-7.384
15,-10.69,-0.126,-7.26,-13.519
16,-8.9,-0.103,-6.02,-11.824
17,8.05,0.006,5.3,-5.316
18,1.58,-0.035,1.05,-3.401
19,1.23,-0.036,0.82,-3.533
20,7.61,0.004,5.01,-3.563
21,2.23,-0.032,1.48,-6.087
22,9.7,0.016,6.36,-1.936
23,-2.51,-0.065,-1.68,-5.703
24,-5.05,-0.083,-3.4,-7.357
