,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,2.24,-0.022,1.49,-9.494
1,4.63,-0.01,3.06,-8.922
2,7.05,0.002,4.65,-6.373
3,1.48,-0.026,0.98,-10.11
4,0.65,-0.03,0.43,-10.532
5,2.44,-0.021,1.62,-10.235
6,1.87,-0.024,1.25,-10.057
7,7.4,0.004,4.88,-6.695
8,2.69,-0.02,1.79,-10.872
9,4.65,-0.01,3.08,-9.473
10,3.72,-0.015,2.47,-7.816
11,7.49,0.004,4.93,-8.495
12,6.81,0.001,4.49,-7.346
13,4.46,-0.011,2.95,-8.964
14,-0.42,-0.036,-0.28,-11.779
15,5.62,-0.005,3.71,-9.161
16,3.08,-0.017,2.05,-9.315
17,9.64,0.015,6.33,-7.934
18,5.75,-0.004,3.8,-8.848
19,4.31,-0.011,2.85,-9.014
20,5.9,-0.003,3.9,-6.68
21,5.21,-0.007,3.45,-6.704
22,3.45,-0.016,2.29,-9.174
23,7.48,0.004,4.93,-8.886
24,5.82,-0.004,3.84,-10.05
