Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,1.788813,1.827786,1.779201,1.817785,1.817785,0
2004-01-08,1.816695,1.857804,1.764104,1.831703,1.831703,0
2004-01-15,1.833013,1.836716,1.782785,1.832811,1.832811,0
2004-01-22,1.832710,1.851886,1.802809,1.815113,1.815113,0
2004-01-29,1.815113,1.840096,1.806587,1.832206,1.832206,0
2004-02-05,1.832408,1.893796,1.830898,1.892506,1.892506,0
2004-02-12,1.892613,1.914095,1.880088,1.892613,1.892613,0
2004-02-19,1.892398,1.900093,1.847097,1.872309,1.872309,0
2004-02-26,1.872414,1.878005,1.816992,1.827586,1.827586,0
2004-03-04,1.827786,1.858494,1.798108,1.803394,1.803394,0
2004-03-11,1.803491,1.819803,1.791408,1.816795,1.816795,0
2004-03-18,1.816893,1.854084,1.816200,1.825284,1.825284,0
2004-03-25,1.825584,1.846586,1.799986,1.843386,1.843386,0
2004-04-01,1.843012,1.859393,1.811890,1.840197,1.840197,0
2004-04-08,1.840197,1.846688,1.786193,1.789805,1.789805,0
2004-04-15,1.789005,1.814191,1.766909,1.769504,1.769504,0
2004-04-22,1.769504,1.796913,1.763389,1.771009,1.771009,0
2004-04-29,1.771291,1.800991,1.758891,1.790991,1.790991,0
2004-05-06,1.790991,1.798691,1.753894,1.772201,1.772201,0
2004-05-13,1.772390,1.785587,1.748710,1.782086,1.782086,0
2004-05-20,1.782213,1.819704,1.765693,1.814915,1.814915,0
2004-05-27,1.814915,1.848600,1.810807,1.834290,1.834290,0
2004-06-03,1.834290,1.848087,1.825984,1.828087,1.828087,0
2004-06-10,1.828087,1.844508,1.805087,1.825184,1.825184,0
2004-06-17,1.825184,1.841010,1.815113,1.816992,1.816992,0
2004-06-24,1.816795,1.833887,1.801899,1.820201,1.820201,0
2004-07-01,1.820201,1.857804,1.812185,1.854290,1.854290,0
2004-07-08,1.854393,1.866194,1.847404,1.856011,1.856011,0
2004-07-15,1.856011,1.877194,1.833013,1.839791,1.839791,0
2004-07-22,1.839689,1.848805,1.815508,1.822888,1.822888,0
2004-07-29,1.823087,1.833315,1.810086,1.825484,1.825484,0
2004-08-05,1.825384,1.846483,1.819704,1.830597,1.830597,0
2004-08-12,1.830295,1.845393,1.813796,1.823686,1.823686,0
2004-08-19,1.823886,1.834189,1.789485,1.796396,1.796396,0
2004-08-26,1.796396,1.806489,1.785906,1.793400,1.793400,0
2004-09-02,1.793304,1.797107,1.771510,1.787406,1.787406,0
2004-09-09,1.787598,1.802711,1.775190,1.776609,1.776609,0
2004-09-16,1.776799,1.800991,1.776704,1.793915,1.793915,0
2004-09-23,1.793915,1.815805,1.793593,1.800310,1.800310,0
2004-09-30,1.800407,1.813598,1.775095,1.779486,1.779486,0
2004-10-07,1.779486,1.799500,1.777493,1.793304,1.793304,0
2004-10-14,1.793304,1.819108,1.792789,1.816299,1.816299,0
2004-10-21,1.816299,1.845086,1.815904,1.828087,1.828087,0
